latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
29.1271,141.0014,80.18,100,2.277,0.51,8.2,7.1,0.052,121
26.1495,102.2525,35,87,5.035,1.19,5.2,2,0.11,24
33.5233,89.2541,10,112,4.13,1.25,6,2,0.115,21
25.947,128.4265,18.41,80,0.896,0.88,7.3,5.5,0.107,27
25.8226,128.4415,10,96,1.02,1.06,5.3,1.7,0.188,8
18.0929,121.0493,10,53,4.7,0.76,6,1.6,0.051,118
39.1271,88.6813,14.96,157,7.538,0.43,12.9,6.2,0.378,3
25.856,128.388,10,82,0.981,0.62,3.6,1.9,0.15,13
32.8584,90.1185,10,77,3.261,0.78,5.5,1.8,0.075,52
12.9066,144.7903,41.04,150,0.682,1.08,6.7,9.9,0.156,16
44.2022,82.5805,25.12,18,2.599,0.53,5.9,3.8,0.127,6
37.6341,72.3872,204.65,53,0.587,0.36,7.2,5.3,0.166,10
41.6267,134.7112,10,50,3.257,0.73,7,1.9,0.06,82
38.6914,141.8002,56.13,130,1.143,0.76,8.2,10.1,0.15,13
47.4724,152.6555,55.69,142,6.5,0.83,13.9,9.2,0.103,28
49.3095,151.3519,303.43,111,5.51,0.86,9,6.7,0.024,531
42.6672,146.7041,10,192,2.709,0.67,12.6,2,0.31,3
18.9104,146.2837,92.28,58,3.679,1.35,8.6,7.6,0.117,21
38.2985,75.468,131.64,82,3.093,0.83,8.1,9.4,0.098,30
25.9629,128.6829,10,56,0.944,0.58,5.5,1.8,0.066,70
36.9497,139.4385,10,87,1.07,0.63,5.7,1.9,0.08,15
14.8732,121.8099,41.88,143,7.932,0.6,15.1,7.2,0.083,43
54.1357,159.4855,121,52,1.22,0.88,7.9,1.9,0.061,26
32.6162,130.6042,10,112,0.556,0.69,5.2,1.9,0.093,34
26.5525,141.6906,35,150,0.698,0.67,11.3,2,0.113,23
34.1705,84.0333,10,90,7.494,0.57,4.3,1.9,0.104,28
39.2651,72.2183,10,45,0.387,0.58,4.5,1.8,0.054,105
12.5303,143.9218,10,136,1.399,1.08,6,2,0.22,6
49.4406,155.9454,40.92,138,3.834,0.76,12.3,8.8,0.134,16
43.5362,145.3614,139.1,164,2.086,0.71,13.4,7.7,0.142,14
38.2959,141.8105,49.3,135,0.911,0.49,6.9,8,0.137,16
25.8498,128.1607,10,213,0.987,0.82,7,1.9,0.086,40
33.0222,140.6451,83.08,155,0.704,0.47,6.4,6.2,0.199,7
22.5842,144.1993,10,54,4.85,0.87,11.2,1.8,0.061,82
27.8272,127.1416,171.69,72,1.409,0.97,7.9,7.1,0.061,81
26.3139,128.842,18.24,73,0.728,0.72,7.5,5,0.088,38
39.3602,143.4791,10,157,2.338,0.87,7.2,1.9,0.147,14
52.8549,153.2429,461,17,2.705,0.74,6.5,1.9,0.033,89
53.316,159.4633,75.53,174,0.57,0.47,13.1,9.5,0.106,24
52.407,161.015,32.27,123,1.565,0.88,9,7,0.162,11
19.0737,121.0645,10,123,3.725,0.63,11.6,1.9,0.103,28
49.3107,156.1359,10,135,3.927,0.66,8.6,1.9,0.035,261
47.1406,146.6593,355.35,46,2.672,0.68,8.3,5.5,0.019,854
48.6211,155.3214,20.97,189,4.738,0.83,5.7,9.2,0.157,15
19.2413,121.0781,10,130,3.558,1.37,11,1.9,0.147,15
12.7002,144.4919,78.27,101,0.956,0.41,10.4,8.8,0.189,11
38.4128,72.8039,59.3,56,1.262,1.36,6.3,11.1,0.159,12
49.1822,156.2022,10,189,4.042,0.9,10.7,2,0.093,36
47.8596,155.7742,33.72,140,5.396,0.94,8.9,5.8,0.054,103
18.9266,145.475,215.97,142,3.677,0.64,10,9.6,0.099,30
35.7549,140.7582,34.51,32,0.574,1.48,5.3,3.6,0.071,19
42.6212,141.8133,17.94,36,1.166,0.77,4.1,3.1,0.075,17
48.3694,155.1659,48.25,131,5.009,1.47,14.3,8.2,0.113,23
38.4653,70.5166,10,78,0.556,0.93,4.8,1.9,0.115,22
52.4776,160.6684,47.1,123,1.343,0.7,9,7.1,0.037,227
49.2456,156.2422,19.02,33,3.975,0.76,8.1,2.6,0.075,17
30.9729,110.3253,10,69,0.997,0.49,7.3,1.9,0.142,14
31.0467,110.5166,10,65,1.168,0.69,9.2,1.9,0.116,22
49.1239,156.2594,10,167,4.091,0.64,5.7,2,0.169,10
27.9648,128.0506,10,81,1.141,0.7,2.2,1.9,0.098,32
49.1973,156.1499,10,93,4.035,0.74,8.5,1.8,0.026,494
49.2508,156.1857,10,135,3.978,0.59,10.2,1.9,0.052,116
49.2243,156.1998,10,83,4.002,0.64,8.5,1.8,0.026,485
49.3443,156.0955,10,135,3.901,0.44,9.8,1.9,0.064,78
49.3262,156.2063,10,73,3.901,0.71,8.3,1.8,0.039,228
